GameID,Season,SeasonType,Status,Day,DateTime,AwayTeam,HomeTeam,AwayTeamID,HomeTeamID,RescheduledGameID,StadiumID,Channel,Inning,InningHalf,AwayTeamRuns,HomeTeamRuns,AwayTeamHits,HomeTeamHits,AwayTeamErrors,HomeTeamErrors,WinningPitcherID,LosingPitcherID,SavingPitcherID,Attendance,AwayTeamProbablePitcherID,HomeTeamProbablePitcherID,Outs,Balls,Strikes,CurrentPitcherID,CurrentHitterID,AwayTeamStartingPitcherID,HomeTeamStartingPitcherID,CurrentPitchingTeamID,CurrentHittingTeamID,PointSpread,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine,ForecastTempLow,ForecastTempHigh,ForecastDescription,ForecastWindChill,ForecastWindSpeed,ForecastWindDirection,RescheduledFromGameID,RunnerOnFirst,RunnerOnSecond,RunnerOnThird,AwayTeamStartingPitcher,HomeTeamStartingPitcher,CurrentPitcher,CurrentHitter,WinningPitcher,LosingPitcher,SavingPitcher,DueUpHitterID1,DueUpHitterID2,DueUpHitterID3,PointSpreadAwayTeamMoneyLine,PointSpreadHomeTeamMoneyLine
44926,2016,1,Final,4/3/2016 12:00:00 AM,4/3/2016 1:05:00 PM,STL,PIT,31,4,,29,,9,T,1,4,5,9,0,1,10000977,10001162,,,10001162,10000977,,,,,,10001162,10000977,,,,,6,-119,33,56,Scattered Thunderstorms/Wind,0,0,0,,,,,,,,,,,,,,,,
44927,2016,1,Final,4/3/2016 12:00:00 AM,4/3/2016 4:05:00 PM,TOR,TB,3,11,,18,,9,B,5,3,7,7,2,1,10001305,10001187,10001957,,10001305,10001187,,,,,,10001305,10001187,,,,,7,-120,28,31,Snow/Wind,0,0,0,,,,,,,,,,,,,,,,
44928,2016,1,Final,4/3/2016 12:00:00 AM,4/3/2016 8:37:00 PM,NYM,KC,18,5,,33,,9,T,3,4,7,9,1,0,10000522,10000794,10000505,,10000794,10000522,,,,,,10000794,10000522,,,,,7,105,49,60,Partly Cloudy,0,0,0,,,,,,,,,,,,,,,,
44929,2016,1,Postponed,4/4/2016 12:00:00 AM,4/4/2016 1:00:00 PM,HOU,NYY,30,29,47521,35,,,,,,,,,,,,,,10000469,10000850,,,,,,10000469,10000850,,,,,,,48,60,Partly Cloudy,0,0,0,,,,,,,,,,,,,,,,
44930,2016,1,Final,4/4/2016 12:00:00 AM,4/4/2016 2:10:00 PM,SF,MIL,15,32,,19,,9,B,12,3,15,8,0,1,10001105,10000709,,,10001105,10000709,,,,,,10001105,10000709,,,1.5,7.5,,-115,52,65,Mostly Sunny,0,0,0,,,,,,,,,,,,,,,,
44932,2016,1,Final,4/4/2016 12:00:00 AM,4/4/2016 4:05:00 PM,SEA,TEX,13,28,,21,,9,T,2,3,4,1,2,1,10000931,10001065,10001259,,10001065,10000931,,,,,,10001065,10000931,,,-1.5,7.5,,-125,41,63,Partly Cloudy,0,0,0,,,,,,,,,,,,,,,,
44934,2016,1,Final,4/4/2016 12:00:00 AM,4/4/2016 4:10:00 PM,WSH,ATL,35,26,,2,,10,B,4,3,8,4,0,2,10001352,10000892,10000942,,10000426,10000066,,,,,,10000426,10000066,,,1.5,7.0,,160,58,73,Partly Cloudy,0,0,0,,,,,,,,,,,,,,,,
44935,2016,1,Final,4/4/2016 12:00:00 AM,4/4/2016 4:10:00 PM,PHI,CIN,12,2,,64,,9,T,2,6,6,6,2,0,10001342,10000013,,,10000012,10003197,,,,,,10000012,10003197,,,-1.5,7.5,,-175,51,68,Partly Cloudy,0,0,0,,,,,,,,,,,,,,,,
44933,2016,1,Postponed,4/4/2016 12:00:00 AM,4/4/2016 4:10:00 PM,BOS,CLE,25,10,47522,10,,,,,,,,,,,,,,10000421,10000335,,,,,,10000421,10000335,,,1.5,6.5,,-188,40,52,Thunderstorms,0,0,0,,,,,,,,,,,,,,,,
44931,2016,1,Final,4/4/2016 12:00:00 AM,4/4/2016 4:45:00 PM,MIN,BAL,20,19,,22,,9,B,2,3,7,10,0,0,10000094,10001198,,,10000759,10000113,,,,,,10000759,10000113,,,-1.5,9.0,,150,26,40,Partly Cloudy,0,0,0,,,,,,,,,,,,,,,,
44936,2016,1,Final,4/4/2016 12:00:00 AM,4/4/2016 7:05:00 PM,LAD,SD,1,33,,1,,9,B,15,0,17,4,0,2,10000618,10001031,,,10000618,10001031,,,,,,10000618,10001031,,,1.5,6.0,,175,58,73,Sunny,0,0,0,,,,,,,,,,,,,,,,
44937,2016,1,Final,4/4/2016 12:00:00 AM,4/4/2016 7:10:00 PM,TOR,TB,3,11,,18,,9,B,5,3,7,8,1,0,10001288,10001207,10001957,,10001288,10001207,,,,,,10001288,10001207,,,-1.5,8.0,,-120,,,,,,,,,,,,,,,,,,,,,,
44938,2016,1,Final,4/4/2016 12:00:00 AM,4/4/2016 9:40:00 PM,COL,ARI,23,14,,54,,9,B,10,5,15,12,0,0,10001451,10000613,,,10000373,10000613,,,,,,10000373,10000613,,,-1.5,7.5,,-200,29,53,Mostly Sunny,0,0,0,,,,,,,,,,,,,,,,
44939,2016,1,Final,4/4/2016 12:00:00 AM,4/4/2016 10:05:00 PM,CHC,LAA,9,21,,28,,9,B,9,0,11,3,0,1,10000184,10000564,,,10000184,10000564,,,,,,10000184,10000564,,,1.5,7.0,,127,31,39,Rain/Wind,0,0,0,,,,,,,,,,,,,,,,
44940,2016,1,Final,4/4/2016 12:00:00 AM,4/4/2016 10:05:00 PM,CHW,OAK,16,24,,23,,9,B,4,3,7,7,1,2,10000249,10000839,10000248,,10000249,10000839,,,,,,10000249,10000839,,,1.5,7.0,,130,50,69,Sunny,0,0,0,,,,,,,,,,,,,,,,
47521,2016,1,Final,4/5/2016 12:00:00 AM,4/5/2016 1:05:00 PM,HOU,NYY,30,29,,35,,9,B,5,3,6,4,0,1,10000469,10000831,10000467,,10000469,10000850,,,,,,10000469,10000850,,,1.5,6.5,,110,,,,,,,44929,,,,,,,,,,,,,,,
47522,2016,1,Final,4/5/2016 12:00:00 AM,4/5/2016 1:10:00 PM,BOS,CLE,25,10,,10,,9,B,6,2,11,5,0,1,10000421,10000335,,,10000421,10000335,,,,,,10000421,10000335,,,-1.5,6.0,,-114,,,,,,,44933,,,,,,,,,,,,,,,
44941,2016,1,Final,4/5/2016 12:00:00 AM,4/5/2016 4:15:00 PM,NYM,KC,18,5,,33,,9,B,2,0,6,3,0,0,10000805,10001079,10000790,,10000805,10001079,,,,,,10000805,10001079,,,1.5,8.5,,110,28,41,Mostly Sunny,34,22,345,,,,,,,,,,,,,,,,
44942,2016,1,Final,4/5/2016 12:00:00 AM,4/5/2016 7:05:00 PM,STL,PIT,31,4,,29,,11,B,5,6,8,12,1,2,10000418,10001156,,,10001161,10000802,,,,,,10001161,10000802,,,1.5,7.0,,-102,35,57,Partly Cloudy,52,18,135,,,,,,,,,,,,,,,,
44943,2016,1,Final,4/5/2016 12:00:00 AM,4/5/2016 7:10:00 PM,DET,MIA,17,22,,57,,11,B,8,7,12,10,1,2,10003254,10000143,10000414,,10000432,10000096,,,,,,10000432,10000096,,,1.5,7.5,,105,68,79,Sunny,81,22,45,,,,,,,,,,,,,,,,
