PitchID,PlayID,PitchNumberThisAtBat,PitcherID,HitterID,Outs,BallsBeforePitch,StrikesBeforePitch,Strike,Ball,Foul,Swinging,Looking
8183687,2155201,1,10000939,10001371,0,0,0,False,True,False,False,False
8183688,2155201,2,10000939,10001371,0,1,0,True,False,False,True,False
8183689,2155201,3,10000939,10001371,0,1,1,True,False,False,False,True
8227065,2167133,5,10001337,10000958,2,2,2,True,False,False,True,False
8227069,2167140,4,10000794,10003366,0,1,2,,,,,
8227195,2167176,1,10001337,10000955,1,0,0,False,True,False,False,False
8227198,2167176,2,10001337,10000955,1,1,0,True,False,False,False,True
8227201,2167176,3,10001337,10000955,1,1,1,False,True,False,False,False
8227205,2167176,4,10001337,10000955,1,2,1,True,False,False,True,False
8227212,2167176,5,10001337,10000955,1,2,2,,,,,
8227235,2167183,1,10001202,10000123,1,0,0,,,,,
8227258,2167190,1,10000247,10000486,0,0,0,True,False,False,False,True
8227263,2167190,2,10000247,10000486,0,0,1,True,False,False,False,True
8227264,2167190,3,10000247,10000486,0,0,2,False,True,False,False,False
8227270,2167190,4,10000247,10000486,0,1,2,False,True,False,False,False
8227276,2167190,5,10000247,10000486,0,2,2,,,,,
8227409,2167226,1,10000109,10000162,0,0,0,True,False,False,False,True
8227420,2167226,2,10000109,10000162,0,0,1,True,False,True,False,False
8227421,2167226,3,10000109,10000162,0,0,2,,,,,
8227429,2167233,1,10000886,10000442,2,0,0,True,False,False,False,True
