StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,PositionCategory,Started,BattingOrder,FanDuelSalary,DraftKingsSalary,FantasyDataSalary,YahooSalary,InjuryStatus,InjuryBodyPart,InjuryStartDate,InjuryNotes,FanDuelPosition,DraftKingsPosition,YahooPosition,OpponentRank,OpponentPositionRank,FantasyDraftSalary,FantasyDraftPosition,GameID,OpponentID,Opponent,Day,DateTime,HomeOrAway,IsGameOver,GlobalOpponentID,Updated,Games,FantasyPoints,AtBats,Runs,Hits,Singles,Doubles,Triples,HomeRuns,RunsBattedIn,BattingAverage,Outs,Strikeouts,Walks,HitByPitch,Sacrifices,SacrificeFlies,GroundIntoDoublePlay,StolenBases,CaughtStealing,PitchesSeen,OnBasePercentage,SluggingPercentage,OnBasePlusSlugging,Errors,Wins,Losses,Saves,InningsPitchedDecimal,TotalOutsPitched,InningsPitchedFull,InningsPitchedOuts,EarnedRunAverage,PitchingHits,PitchingRuns,PitchingEarnedRuns,PitchingWalks,PitchingStrikeouts,PitchingHomeRuns,PitchesThrown,PitchesThrownStrikes,WalksHitsPerInningsPitched,PitchingBattingAverageAgainst,GrandSlams,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlateAppearances,TotalBases,FlyOuts,GroundOuts,LineOuts,PopOuts,IntentionalWalks,ReachedOnError,BallsInPlay,BattingAverageOnBallsInPlay,WeightedOnBasePercentage,PitchingSingles,PitchingDoubles,PitchingTriples,PitchingGrandSlams,PitchingHitByPitch,PitchingSacrifices,PitchingSacrificeFlies,PitchingGroundIntoDoublePlay,PitchingCompleteGames,PitchingShutOuts,PitchingNoHitters,PitchingPerfectGames,PitchingPlateAppearances,PitchingTotalBases,PitchingFlyOuts,PitchingGroundOuts,PitchingLineOuts,PitchingPopOuts,PitchingIntentionalWalks,PitchingReachedOnError,PitchingCatchersInterference,PitchingBallsInPlay,PitchingOnBasePercentage,PitchingSluggingPercentage,PitchingOnBasePlusSlugging,PitchingStrikeoutsPerNineInnings,PitchingWalksPerNineInnings,PitchingBattingAverageOnBallsInPlay,PitchingWeightedOnBasePercentage,DoublePlays,PitchingDoublePlays,BattingOrderConfirmed,IsolatedPower,FieldingIndependentPitching,PitchingQualityStarts
1084822,4,10001210,1,2016,John Jaso,PIT,1B,IF,1,1,2500,3000,2500,7,,,,,C,OF,C,,,,,44926,31,STL,4/3/2016 12:00:00 AM,4/3/2016 1:05:00 PM,HOME,True,10000031,3/29/2017 11:06:27 AM,1,2.00,4.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.25,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.25,0.25,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,6.50,5.00,3.90,4.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,3.00,0.333,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0.00,0,0.00
1084823,4,10001010,1,2016,Andrew McCutchen,PIT,CF,OF,1,2,4600,4200,4600,23,,,,,OF,OF,OF,,,,,44926,31,STL,4/3/2016 12:00:00 AM,4/3/2016 1:05:00 PM,HOME,True,10000031,3/29/2017 11:06:27 AM,1,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,2.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,16.00,0.5,0,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,6.00,4.00,4.20,4.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,2.00,0,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0,0,0.00
1084824,4,10000584,1,2016,David Freese,PIT,3B,IF,1,3,2600,3100,2600,8,,,,,3B,3B,3B,,,,,44926,31,STL,4/3/2016 12:00:00 AM,4/3/2016 1:05:00 PM,HOME,True,10000031,3/29/2017 11:06:27 AM,1,2.00,4.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.5,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.5,0.5,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,6.00,6.00,4.20,4.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,0.667,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0.0,0,0.00
1084825,4,10001009,1,2016,Starling Marte,PIT,LF,OF,1,4,3400,4100,3400,19,,,,,OF,OF,OF,,,,,44926,31,STL,4/3/2016 12:00:00 AM,4/3/2016 1:05:00 PM,HOME,True,10000031,3/29/2017 11:06:27 AM,1,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,4.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,13.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,3.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0,0,0.00
1084826,4,10000990,1,2016,Francisco Cervelli,PIT,C,IF,1,5,2400,3000,2400,15,,,,,C,C,C,,,,,44926,31,STL,4/3/2016 12:00:00 AM,4/3/2016 1:05:00 PM,HOME,True,10000031,3/29/2017 11:06:27 AM,1,5.00,3.00,1.00,2.00,1.00,0.00,1.00,0.00,0.00,0.667,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,19.00,0.75,1.333,2.083,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,18.20,15.00,12.30,4.00,4.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,0.667,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0.666,0,0.00
1084827,4,10001011,1,2016,Gregory Polanco,PIT,RF,OF,1,6,3300,,3300,13,,,,,OF,,OF,,,,,44926,31,STL,4/3/2016 12:00:00 AM,4/3/2016 1:05:00 PM,HOME,True,10000031,3/29/2017 11:06:27 AM,1,6.00,3.00,2.00,2.00,1.00,1.00,0.00,0.00,0.00,0.667,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.75,1,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,18.40,14.00,12.00,4.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,0.667,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0.333,0,0.00
1084828,4,10000998,1,2016,Josh Harrison,PIT,2B,IF,1,7,2500,3300,2500,10,,,,,2B,2B/3B,3B,,,,,44926,31,STL,4/3/2016 12:00:00 AM,4/3/2016 1:05:00 PM,HOME,True,10000031,3/29/2017 11:06:27 AM,1,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0,2.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,16.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,3.50,2.00,1.80,3.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0,0,0.00
1084829,4,10001000,1,2016,Jordy Mercer,PIT,SS,IF,1,8,2300,2700,2300,7,,,,,SS,SS,SS,,,,,44926,31,STL,4/3/2016 12:00:00 AM,4/3/2016 1:05:00 PM,HOME,True,10000031,3/29/2017 11:06:27 AM,1,5.00,3.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.333,2.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.5,0.667,1.167,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,15.70,11.00,9.90,4.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,3.00,0.333,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0.334,0,0.00
1084830,4,10000977,1,2016,Francisco Liriano,PIT,SP,P,1,9,8400,9300,8400,45,,,,,P,SP,P,,,,,44926,31,STL,4/3/2016 12:00:00 AM,4/3/2016 1:05:00 PM,HOME,True,10000031,3/29/2017 11:06:55 AM,1,12.00,2.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.5,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.5,0.5,1.0,0.00,1.00,0.00,0.00,6.00,18.00,6.00,0.00,0,3.00,0.00,0.00,5.00,10.00,0.00,94.00,50.00,1.333,0.143,0.00,58.00,32.70,34.80,2.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1,0.5,3.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,26.00,3.00,0.00,3.00,0.00,2.00,0.00,0.00,0.00,11.00,0.308,0.143,0.451,0.07,0.13,0.273,0.231,0.00,0.00,,0.0,2.32,1.00
1084860,4,10000598,1,2016,Matt Joyce,PIT,PH,PH,0,,2000,,2000,,,,,,OF,,,,,,,44926,31,STL,4/3/2016 12:00:00 AM,4/3/2016 1:05:00 PM,HOME,True,10000031,3/29/2017 11:06:27 AM,1,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,3.00,2.00,2.10,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0,0,0.00
