StatID	TeamID	PlayerID	SeasonType	Season	Name	Team	Position	PositionCategory	Started	BattingOrder	FanDuelSalary	DraftKingsSalary	FantasyDataSalary	YahooSalary	InjuryStatus	InjuryBodyPart	InjuryStartDate	InjuryNotes	FanDuelPosition	DraftKingsPosition	YahooPosition	OpponentRank	OpponentPositionRank	FantasyDraftSalary	FantasyDraftPosition	GameID	OpponentID	Opponent	Day	DateTime	HomeOrAway	IsGameOver	GlobalOpponentID	Updated	Games	FantasyPoints	AtBats	Runs	Hits	Singles	Doubles	Triples	HomeRuns	RunsBattedIn	BattingAverage	Outs	Strikeouts	Walks	HitByPitch	Sacrifices	SacrificeFlies	GroundIntoDoublePlay	StolenBases	CaughtStealing	PitchesSeen	OnBasePercentage	SluggingPercentage	OnBasePlusSlugging	Errors	Wins	Losses	Saves	InningsPitchedDecimal	TotalOutsPitched	InningsPitchedFull	InningsPitchedOuts	EarnedRunAverage	PitchingHits	PitchingRuns	PitchingEarnedRuns	PitchingWalks	PitchingStrikeouts	PitchingHomeRuns	PitchesThrown	PitchesThrownStrikes	WalksHitsPerInningsPitched	PitchingBattingAverageAgainst	GrandSlams	FantasyPointsFanDuel	FantasyPointsDraftKings	FantasyPointsYahoo	PlateAppearances	TotalBases	FlyOuts	GroundOuts	LineOuts	PopOuts	IntentionalWalks	ReachedOnError	BallsInPlay	BattingAverageOnBallsInPlay	WeightedOnBasePercentage	PitchingSingles	PitchingDoubles	PitchingTriples	PitchingGrandSlams	PitchingHitByPitch	PitchingSacrifices	PitchingSacrificeFlies	PitchingGroundIntoDoublePlay	PitchingCompleteGames	PitchingShutOuts	PitchingNoHitters	PitchingPerfectGames	PitchingPlateAppearances	PitchingTotalBases	PitchingFlyOuts	PitchingGroundOuts	PitchingLineOuts	PitchingPopOuts	PitchingIntentionalWalks	PitchingReachedOnError	PitchingCatchersInterference	PitchingBallsInPlay	PitchingOnBasePercentage	PitchingSluggingPercentage	PitchingOnBasePlusSlugging	PitchingStrikeoutsPerNineInnings	PitchingWalksPerNineInnings	PitchingBattingAverageOnBallsInPlay	PitchingWeightedOnBasePercentage	DoublePlays	PitchingDoublePlays	BattingOrderConfirmed	IsolatedPower	FieldingIndependentPitching	PitchingQualityStarts
1077437	4	10001814	1	2016	Jung Ho Kang	PIT	3B	IF	0		2900	3400	2900	12	15 Day Disabled List	Knee	4/3/2016 12:00:00 AM	Kang has been placed on the 15-day disabled list due to a right leg injury. He is expected to return near the end of April.	3B	3B/SS	3B					44926	31	STL	4/3/2016 12:00:00 AM	4/3/2016 1:05:00 PM	HOME	True	10000031	3/29/2017 11:06:27 AM	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00	False	0	0	0.00
1077633	4	10000977	1	2016	Francisco Liriano	PIT	SP	P	1	9	8400	9300	8400	45					P	SP	P					44926	31	STL	4/3/2016 12:00:00 AM	4/3/2016 1:05:00 PM	HOME	True	10000031	3/29/2017 11:06:27 AM	1	6.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.40	0.37	0.00	7.4166666667	22.25	7.00	1.25	2.949	6.62	2.43	2.43	2.58	8.65	0.00	0.00	0.00	1.240	-2.333	0.00	43.31	25.04	27.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	6.62	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-11.51	0	-2.333	-2.333	0.10	0.32	-0.583	0	0.00	0.00	True	0	1.91	0.00
1077637	4	10000802	1	2016	Jonathon Niese	PIT	P	P	0		5600	6900	5600	25					P	SP	P					44926	31	STL	4/3/2016 12:00:00 AM	4/3/2016 1:05:00 PM	HOME	True	10000031	3/29/2017 11:06:27 AM	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00	False	0	0	0.00
1077641	4	10000418	1	2016	Kyle Lobstein	PIT	P	P	0		4900	4900	4900	25					P	SP	P					44926	31	STL	4/3/2016 12:00:00 AM	4/3/2016 1:05:00 PM	HOME	True	10000031	3/29/2017 11:06:27 AM	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00	False	0	0	0.00
1077642	4	10000979	1	2016	Jeff Locke	PIT	P	P	0		4900	7300	4900	25					P	SP	P					44926	31	STL	4/3/2016 12:00:00 AM	4/3/2016 1:05:00 PM	HOME	True	10000031	3/29/2017 11:06:27 AM	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00	False	0	0	0.00
1077643	4	10001122	1	2016	Ryan Vogelsong	PIT	P	P	0		4700	6900	4700	25					P	SP	P					44926	31	STL	4/3/2016 12:00:00 AM	4/3/2016 1:05:00 PM	HOME	True	10000031	3/29/2017 11:06:27 AM	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00	False	0	0	0.00
1077644	4	10001010	1	2016	Andrew McCutchen	PIT	CF	OF	1	2	4600	4200	4600	23					OF	OF	OF					44926	31	STL	4/3/2016 12:00:00 AM	4/3/2016 1:05:00 PM	HOME	True	10000031	3/29/2017 11:06:27 AM	1	4.32	3.94	0.41	0.91	0.61	0.19	0.01	0.10	0.41	0.25	3.03	0.00	0.46	0.05	0.00	0.00	0.00	0.06	0.03	0.00	0.25	0.25	0.50	0.00	0.37	0.37	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	8.90	6.82	5.78	4.45	1.42	0.00	0.00	0.00	0.00	0.00	0.00	3.84	0.25	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00	True	0.00	0	0.00
1077631	4	10000970	1	2016	Gerrit Cole	PIT	P	P	0		9400	9700	9400	49					P	SP	P					44926	31	STL	4/3/2016 12:00:00 AM	4/3/2016 1:05:00 PM	HOME	True	10000031	3/29/2017 11:06:27 AM	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00	False	0	0	0.00
1077646	4	10000623	1	2016	Juan Nicasio	PIT	P	P	0		4000	4000	4000	25					P	RP	P					44926	31	STL	4/3/2016 12:00:00 AM	4/3/2016 1:05:00 PM	HOME	True	10000031	3/29/2017 11:06:27 AM	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00	False	0	0	0.00
1077647	4	10000971	1	2016	Brandon Cumpton	PIT	P	P	0		4000		4000						P							44926	31	STL	4/3/2016 12:00:00 AM	4/3/2016 1:05:00 PM	HOME	True	10000031	3/29/2017 11:06:27 AM	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00	False	0	0	0.00
