StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,PositionCategory,Started,BattingOrder,AverageDraftPosition,Updated,Games,FantasyPoints,AtBats,Runs,Hits,Singles,Doubles,Triples,HomeRuns,RunsBattedIn,BattingAverage,Outs,Strikeouts,Walks,HitByPitch,Sacrifices,SacrificeFlies,GroundIntoDoublePlay,StolenBases,CaughtStealing,PitchesSeen,OnBasePercentage,SluggingPercentage,OnBasePlusSlugging,Errors,Wins,Losses,Saves,InningsPitchedDecimal,TotalOutsPitched,InningsPitchedFull,InningsPitchedOuts,EarnedRunAverage,PitchingHits,PitchingRuns,PitchingEarnedRuns,PitchingWalks,PitchingStrikeouts,PitchingHomeRuns,PitchesThrown,PitchesThrownStrikes,WalksHitsPerInningsPitched,PitchingBattingAverageAgainst,GrandSlams,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlateAppearances,TotalBases,FlyOuts,GroundOuts,LineOuts,PopOuts,IntentionalWalks,ReachedOnError,BallsInPlay,BattingAverageOnBallsInPlay,WeightedOnBasePercentage,PitchingSingles,PitchingDoubles,PitchingTriples,PitchingGrandSlams,PitchingHitByPitch,PitchingSacrifices,PitchingSacrificeFlies,PitchingGroundIntoDoublePlay,PitchingCompleteGames,PitchingShutOuts,PitchingNoHitters,PitchingPerfectGames,PitchingPlateAppearances,PitchingTotalBases,PitchingFlyOuts,PitchingGroundOuts,PitchingLineOuts,PitchingPopOuts,PitchingIntentionalWalks,PitchingReachedOnError,PitchingCatchersInterference,PitchingBallsInPlay,PitchingOnBasePercentage,PitchingSluggingPercentage,PitchingOnBasePlusSlugging,PitchingStrikeoutsPerNineInnings,PitchingWalksPerNineInnings,PitchingBattingAverageOnBallsInPlay,PitchingWeightedOnBasePercentage,DoublePlays,PitchingDoublePlays,BattingOrderConfirmed,IsolatedPower,FieldingIndependentPitching,PitchingQualityStarts
1084894,11,10000115,1,2016,Ryan Webb,TB,RP,P,0,,,3/29/2017 11:06:27 AM,18,7.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,17.3333333333,52.00,17.00,1.00,5.192,27.00,11.00,10.00,3.00,11.00,2.00,292.00,189.00,1.731,0.370,0.00,55.00,23.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,23.00,2.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,76.00,35.00,10.00,10.00,4.00,1.00,1.00,1.00,0.00,60.00,0.395,0.479,0.874,0.18,0.64,0.417,0.382,0.00,4.00,,0,3.92,0.00
1084895,31,10000351,1,2016,Brandon Moss,STL,RF,OF,101,,,3/29/2017 11:06:27 AM,128,382.00,413.00,66.00,93.00,43.00,20.00,2.00,28.00,67.00,0.225,320.00,141.00,39.00,7.00,0.00,5.00,8.00,1.00,0.00,1826.00,0.300,0.487,0.787,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,1192.70,888.00,762.30,464.00,201.00,62.00,46.00,23.00,22.00,3.00,3.00,249.00,0.261,0.334,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,8.00,0.00,,0.262,0,0.00
1084896,3,10000402,1,2016,Troy Tulowitzki,TOR,SS,IF,131,,,3/29/2017 11:06:27 AM,131,402.00,492.00,54.00,126.00,81.00,21.00,0.00,24.00,79.00,0.256,366.00,101.00,43.00,5.00,0.00,4.00,14.00,1.00,0.00,2100.00,0.320,0.445,0.765,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1.00,1256.30,955.00,804.30,544.00,219.00,74.00,97.00,32.00,27.00,1.00,1.00,371.00,0.275,0.333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,15.00,0.00,,0.189,0,0.00
1084897,11,10000406,1,2016,Corey Dickerson,TB,LF,OF,131,,,3/29/2017 11:06:27 AM,148,399.00,510.00,57.00,125.00,62.00,36.00,3.00,24.00,70.00,0.245,385.00,134.00,33.00,2.00,0.00,2.00,12.00,0.00,2.00,2077.00,0.293,0.469,0.762,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,1.00,1249.40,954.00,804.00,547.00,239.00,85.00,77.00,26.00,18.00,6.00,3.00,354.00,0.285,0.322,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,14.00,0.00,,0.224,0,0.00
1084898,11,10000482,1,2016,Hank Conger,TB,C,IF,38,,,3/29/2017 11:06:27 AM,49,67.00,124.00,6.00,24.00,15.00,6.00,0.00,3.00,10.00,0.194,100.00,40.00,12.00,0.00,1.00,0.00,4.00,0.00,0.00,573.00,0.265,0.315,0.580,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,207.20,161.00,135.90,136.00,39.00,14.00,23.00,3.00,8.00,0.00,2.00,81.00,0.259,0.272,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,4.00,0.00,,0.121,0,0.00
1084899,4,10000584,1,2016,David Freese,PIT,3B,IF,105,,,3/29/2017 11:06:27 AM,141,353.00,437.00,63.00,118.00,82.00,23.00,0.00,13.00,55.00,0.270,319.00,142.00,45.00,10.00,0.00,0.00,15.00,0.00,0.00,2062.00,0.352,0.412,0.764,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,1099.10,837.00,705.90,492.00,180.00,19.00,97.00,27.00,2.00,2.00,7.00,282.00,0.372,0.352,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,16.00,0.00,,0.142,0,0.00
1084900,4,10000598,1,2016,Matt Joyce,PIT,RF,OF,48,,,3/29/2017 11:06:27 AM,140,257.00,231.00,45.00,56.00,32.00,10.00,1.00,13.00,42.00,0.242,175.00,67.00,59.00,3.00,0.00,0.00,9.00,1.00,1.00,1300.00,0.403,0.463,0.866,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,804.00,587.00,515.70,293.00,107.00,26.00,44.00,10.00,3.00,4.00,3.00,151.00,0.285,0.386,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,9.00,0.00,,0.221,0,0.00
1084901,4,10000683,1,2016,Michael Morse,PIT,1B,IF,1,,,3/29/2017 11:06:27 AM,6,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,8.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,8.00,0.00,1.00,3.00,0.00,1.00,0.00,0.00,6.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0,0,0.00
1084902,11,10000789,1,2016,Dana Eveland,TB,RP,P,0,,,3/29/2017 11:06:27 AM,33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,1.00,0.00,23.00,69.00,23.00,0.00,9,32.00,23.00,23.00,19.00,21.00,3.00,458.00,275.00,2.217,0.330,0.00,63.00,15.35,16.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,22.00,6.00,1.00,0.00,3.00,0.00,1.00,3.00,0.00,0.00,0.00,0.00,120.00,49.00,11.00,19.00,5.00,1.00,3.00,0.00,0.00,74.00,0.45,0.505,0.955,0.12,0.13,0.392,0.4,0.00,3.00,,0,5.89,0.00
1084903,3,10000977,1,2016,Francisco Liriano,TOR,SP,P,29,,,3/29/2017 11:06:27 AM,33,133.00,42.00,2.00,12.00,10.00,1.00,0.00,1.00,5.00,0.286,30.00,16.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.00,0.286,0.381,0.667,4.00,8.00,13.00,0.00,163.00,489.00,163.00,0.00,4.693,157.00,98.00,85.00,85.00,168.00,26.00,2793.00,1685.00,1.485,0.252,0.00,786.00,414.15,461.10,42.00,16.00,4.00,5.00,3.00,0.00,0.00,1.00,25.00,0.44,0.310,104.00,23.00,4.00,0.00,9.00,7.00,6.00,19.00,0.00,0.00,0.00,0.00,731.00,266.00,63.00,137.00,32.00,14.00,1.00,11.00,0.00,436.00,0.343,0.426,0.769,0.11,0.21,0.300,0.350,0.00,18.00,,0.095,4.89,0.00
