StatID	TeamID	PlayerID	SeasonType	Season	Name	Team	Position	PositionCategory	Started	BattingOrder	AverageDraftPosition	Updated	Games	FantasyPoints	AtBats	Runs	Hits	Singles	Doubles	Triples	HomeRuns	RunsBattedIn	BattingAverage	Outs	Strikeouts	Walks	HitByPitch	Sacrifices	SacrificeFlies	GroundIntoDoublePlay	StolenBases	CaughtStealing	PitchesSeen	OnBasePercentage	SluggingPercentage	OnBasePlusSlugging	Errors	Wins	Losses	Saves	InningsPitchedDecimal	TotalOutsPitched	InningsPitchedFull	InningsPitchedOuts	EarnedRunAverage	PitchingHits	PitchingRuns	PitchingEarnedRuns	PitchingWalks	PitchingStrikeouts	PitchingHomeRuns	PitchesThrown	PitchesThrownStrikes	WalksHitsPerInningsPitched	PitchingBattingAverageAgainst	GrandSlams	FantasyPointsFanDuel	FantasyPointsDraftKings	FantasyPointsYahoo	PlateAppearances	TotalBases	FlyOuts	GroundOuts	LineOuts	PopOuts	IntentionalWalks	ReachedOnError	BallsInPlay	BattingAverageOnBallsInPlay	WeightedOnBasePercentage	PitchingSingles	PitchingDoubles	PitchingTriples	PitchingGrandSlams	PitchingHitByPitch	PitchingSacrifices	PitchingSacrificeFlies	PitchingGroundIntoDoublePlay	PitchingCompleteGames	PitchingShutOuts	PitchingNoHitters	PitchingPerfectGames	PitchingPlateAppearances	PitchingTotalBases	PitchingFlyOuts	PitchingGroundOuts	PitchingLineOuts	PitchingPopOuts	PitchingIntentionalWalks	PitchingReachedOnError	PitchingCatchersInterference	PitchingBallsInPlay	PitchingOnBasePercentage	PitchingSluggingPercentage	PitchingOnBasePlusSlugging	PitchingStrikeoutsPerNineInnings	PitchingWalksPerNineInnings	PitchingBattingAverageOnBallsInPlay	PitchingWeightedOnBasePercentage	DoublePlays	PitchingDoublePlays	BattingOrderConfirmed	IsolatedPower	FieldingIndependentPitching	PitchingQualityStarts
1412662	32	10000723	1	2016	Scooter Gennett	MIL	2B	IF	62			3/29/2017 11:06:27 AM	70	186.00	255.00	29.00	65.00	41.00	18.00	0.00	6.00	29.00	0.255	190.00	60.00	20.00	1.00	1.00	1.00	7.00	3.00	0.00	1082.00	0.310	0.396	0.706	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	578.30	446.00	373.20	277.00	101.00	27.00	47.00	21.00	8.00	1.00	5.00	190.00	0.311	0.325	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	8.00	0.00	True	0.141	0	0.00
1412663	15	10001129	1	2016	Brandon Belt	SF	1B	IF	75			3/29/2017 11:06:27 AM	78	263.00	275.00	36.00	74.00	39.00	23.00	1.00	11.00	42.00	0.269	201.00	80.00	53.00	1.00	0.00	1.00	1.00	1.00	3.00	1386.00	0.388	0.48	0.868	8.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	826.20	619.00	535.20	330.00	132.00	45.00	35.00	18.00	15.00	2.00	0.00	185.00	0.341	0.376	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	3.00	0.00	True	0.211	0	0.00
1412664	9	10000457	1	2016	Jake Buchanan	CHC	RP	P	1			3/29/2017 11:06:27 AM	2	9.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	0	0	0	0.00	1.00	0.00	0.00	6.00	18.00	6.00	0.00	1.5	3.00	1.00	1.00	1.00	4.00	1.00	82.00	54.00	0.667	0.15	0.00	33.00	21.10	24.40	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	2.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	21.00	6.00	1.00	3.00	5.00	1.00	0.00	0.00	0.00	15.00	0.190	0.3	0.490	0.17	0.67	0.133	0.190	0.00	1.00	True	0	4.49	0.00
1412665	19	10000356	1	2016	Michael Bourn	BAL	CF	OF	8			3/29/2017 11:06:27 AM	14	38.00	31.00	5.00	10.00	7.00	1.00	0.00	2.00	6.00	0.323	21.00	5.00	6.00	0.00	1.00	0.00	0.00	2.00	0.00	156.00	0.432	0.548	0.980	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	118.00	90.00	76.50	37.00	17.00	5.00	7.00	1.00	2.00	0.00	0.00	24.00	0.333	0.432	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00	True	0.225	0	0.00
1412666	12	10005320	1	2016	Roman Quinn	PHI	CF	OF	5			3/29/2017 11:06:27 AM	6	17.00	23.00	3.00	6.00	5.00	1.00	0.00	0.00	2.00	0.261	17.00	9.00	1.00	0.00	1.00	0.00	0.00	2.00	0.00	90.00	0.292	0.304	0.596	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	52.60	42.00	34.20	24.00	7.00	3.00	3.00	2.00	0.00	0.00	0.00	14.00	0.429	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00	True	0.043	0	0.00
1412667	1	10000918	1	2016	Josh Reddick	LAD	LF	OF	19			3/29/2017 11:06:27 AM	25	42.00	79.00	8.00	18.00	15.00	3.00	0.00	0.00	1.00	0.228	61.00	7.00	8.00	0.00	0.00	0.00	0.00	2.00	0.00	336.00	0.299	0.266	0.565	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	128.10	104.00	85.50	87.00	21.00	16.00	21.00	6.00	7.00	0.00	0.00	72.00	0.25	0.264	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00	True	0.038	0	0.00
1412668	3	10000053	1	2016	Jason Grilli	TOR	RP	P	0			3/29/2017 11:06:27 AM	20	14.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	1.00	2.00	1.00	17.6666666667	53.00	17.00	2.00	4.585	14.00	9.00	9.00	12.00	25.00	3.00	326.00	197.00	1.472	0.222	0.00	107.00	60.15	65.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	8.00	2.00	1.00	0.00	0.00	0.00	1.00	2.00	0.00	0.00	0.00	0.00	76.00	27.00	7.00	7.00	4.00	1.00	0.00	0.00	0.00	36.00	0.342	0.429	0.771	0.08	0.16	0.306	0.342	0.00	3.00	True	0	4.62	0.00
1412669	1	10000633	1	2016	Yasmani Grandal	LAD	C	IF	51			3/29/2017 11:06:27 AM	58	138.00	192.00	20.00	34.00	20.00	6.00	1.00	7.00	22.00	0.177	158.00	58.00	33.00	1.00	0.00	1.00	6.00	0.00	1.00	985.00	0.300	0.328	0.628	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	432.00	320.00	279.30	227.00	63.00	25.00	42.00	10.00	7.00	0.00	1.00	128.00	0.211	0.291	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	6.00	0.00	True	0.151	0	0.00
1412670	30	10000465	1	2016	Josh Fields	HOU	RP	P	0			3/29/2017 11:06:27 AM	7	-0.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	7.3333333333	22.00	7.00	1.00	9.818	13.00	10.00	8.00	2.00	13.00	1.00	150.00	104.00	2.045	0.371	0.00	37.00	17.50	18.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	7.00	4.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	38.00	22.00	3.00	4.00	0.00	0.00	0.00	1.00	0.00	22.00	0.395	0.629	1.024	0.06	0.41	0.545	0.447	0.00	0.00	True	0	2.15	0.00
1412671	23	10005246	1	2016	Jason Gurka	COL	RP	P	0			3/29/2017 11:06:27 AM	3	0.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	1.00	0.00	0.00	0.00	3.6666666667	11.00	3.00	2.00	7.364	5.00	3.00	3.00	2.00	4.00	0.00	72.00	47.00	1.909	0.333	0.00	14.00	6.05	6.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	3.00	1.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	18.00	8.00	1.00	1.00	1.00	1.00	0.00	1.00	0.00	12.00	0.389	0.533	0.922	0.10	0.20	0.417	0.444	0.00	0.00	True	0	2.49	0.00
