StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,PositionCategory,Started,BattingOrder,AverageDraftPosition,Updated,Games,FantasyPoints,AtBats,Runs,Hits,Singles,Doubles,Triples,HomeRuns,RunsBattedIn,BattingAverage,Outs,Strikeouts,Walks,HitByPitch,Sacrifices,SacrificeFlies,GroundIntoDoublePlay,StolenBases,CaughtStealing,PitchesSeen,OnBasePercentage,SluggingPercentage,OnBasePlusSlugging,Errors,Wins,Losses,Saves,InningsPitchedDecimal,TotalOutsPitched,InningsPitchedFull,InningsPitchedOuts,EarnedRunAverage,PitchingHits,PitchingRuns,PitchingEarnedRuns,PitchingWalks,PitchingStrikeouts,PitchingHomeRuns,PitchesThrown,PitchesThrownStrikes,WalksHitsPerInningsPitched,PitchingBattingAverageAgainst,GrandSlams,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlateAppearances,TotalBases,FlyOuts,GroundOuts,LineOuts,PopOuts,IntentionalWalks,ReachedOnError,BallsInPlay,BattingAverageOnBallsInPlay,WeightedOnBasePercentage,PitchingSingles,PitchingDoubles,PitchingTriples,PitchingGrandSlams,PitchingHitByPitch,PitchingSacrifices,PitchingSacrificeFlies,PitchingGroundIntoDoublePlay,PitchingCompleteGames,PitchingShutOuts,PitchingNoHitters,PitchingPerfectGames,PitchingPlateAppearances,PitchingTotalBases,PitchingFlyOuts,PitchingGroundOuts,PitchingLineOuts,PitchingPopOuts,PitchingIntentionalWalks,PitchingReachedOnError,PitchingCatchersInterference,PitchingBallsInPlay,PitchingOnBasePercentage,PitchingSluggingPercentage,PitchingOnBasePlusSlugging,PitchingStrikeoutsPerNineInnings,PitchingWalksPerNineInnings,PitchingBattingAverageOnBallsInPlay,PitchingWeightedOnBasePercentage,DoublePlays,PitchingDoublePlays,BattingOrderConfirmed,IsolatedPower,FieldingIndependentPitching,PitchingQualityStarts
1414292,13,10005366,1,2016,Ben Gamel,SEA,RF,OF,5,,,3/29/2017 11:06:27 AM,16,17.00,28.00,3.00,5.00,3.00,2.00,0.00,0.00,2.00,0.179,23.00,11.00,5.00,0.00,1.00,0.00,0.00,0.00,0.00,135.00,0.303,0.25,0.553,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,52.60,39.00,34.20,33.00,7.00,2.00,5.00,3.00,0.00,0.00,0.00,17.00,0.294,0.273,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,True,0.071,0,0.00
1414293,16,10000154,1,2016,Anthony Ranaudo,CHW,SP,P,1,,,3/29/2017 11:06:27 AM,1,-0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,5.3333333333,16.00,5.00,1.00,10.125,5.00,6.00,6.00,2.00,4.00,1.00,96.00,60.00,1.313,0.238,0.00,10.00,3.80,5.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,3.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,24.00,9.00,2.00,5.00,1.00,2.00,0.00,1.00,0.00,17.00,0.292,0.429,0.721,0.15,0.30,0.235,0.333,0.00,0.00,True,0,5.35,0.00
1414294,29,10000870,1,2016,Brett Gardner,NYY,LF,OF,70,,,3/29/2017 11:06:27 AM,73,219.00,268.00,42.00,75.00,60.00,7.00,3.00,5.00,21.00,0.280,193.00,45.00,34.00,3.00,3.00,1.00,3.00,8.00,0.00,1199.00,0.366,0.384,0.750,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,675.90,529.00,441.00,306.00,103.00,31.00,59.00,22.00,12.00,0.00,2.00,219.00,0.320,0.346,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,3.00,0.00,True,0.104,0,0.00
1414295,20,10000751,1,2016,Alex Meyer,MIN,SP,P,0,,,3/29/2017 11:06:27 AM,1,-1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,1.00,3.00,1.00,0.00,18,5.00,2.00,2.00,1.00,1.00,0.00,29.00,18.00,6,0.625,0.00,0.00,-3.35,-4.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,6.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,7.00,0.667,0.75,1.417,0.11,0.11,0.714,0.667,0.00,0.00,True,0,4.15,0.00
1414296,32,10000806,1,2016,Carlos Torres,MIL,RP,P,0,,,3/29/2017 11:06:27 AM,36,29.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,1.00,3.00,0.00,40.6666666667,122.00,40.00,2.00,3.320,34.00,15.00,15.00,16.00,38.00,4.00,669.00,415.00,1.230,0.230,0.00,197.00,110.30,125.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,23.00,5.00,2.00,0.00,2.00,2.00,2.00,3.00,0.00,0.00,0.00,0.00,170.00,55.00,20.00,31.00,11.00,3.00,2.00,0.00,0.00,108.00,0.306,0.372,0.678,0.12,0.28,0.278,0.288,0.00,4.00,True,0,3.90,0.00
1414297,24,10000880,1,2016,Chris Bassitt,OAK,SP,P,2,,,3/29/2017 11:06:27 AM,2,6.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,12.3333333333,37.00,12.00,1.00,4.378,13.00,6.00,6.00,4.00,9.00,2.00,211.00,145.00,1.378,0.255,0.00,46.00,23.55,27.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,10.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,55.00,20.00,8.00,12.00,4.00,1.00,0.00,1.00,0.00,40.00,0.309,0.392,0.701,0.15,0.34,0.275,0.327,0.00,1.00,True,0,4.82,0.00
1414298,5,10000513,1,2016,Luke Hochevar,KC,RP,P,0,,,3/29/2017 11:06:27 AM,21,13.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,1.00,2.00,0.00,18.6666666667,56.00,18.00,2.00,4.339,17.00,9.00,9.00,2.00,19.00,4.00,288.00,196.00,1.018,0.239,0.00,92.00,53.40,61.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,11.00,1.00,1.00,0.00,2.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,76.00,32.00,15.00,11.00,3.00,2.00,0.00,0.00,0.00,49.00,0.276,0.451,0.727,0.11,1.04,0.265,0.303,0.00,1.00,True,0,4.60,0.00
1414299,13,10005753,1,2016,Edwin Diaz,SEA,RP,P,0,,,3/29/2017 11:06:27 AM,27,39.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,1.00,10.00,27.3333333333,82.00,27.00,1.00,2.634,20.00,8.00,8.00,7.00,49.00,2.00,429.00,287.00,0.988,0.198,0.00,205.00,126.70,138.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,14.00,4.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,109.00,30.00,7.00,14.00,3.00,2.00,0.00,0.00,0.00,50.00,0.257,0.297,0.554,0.06,0.43,0.36,0.248,0.00,1.00,True,0,1.37,0.00
1414300,15,10002046,1,2016,Ty Blach,SF,RP,P,1,,,3/29/2017 11:06:27 AM,1,14.00,3.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.667,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.00,0.667,0.667,1.334,0.00,1.00,0.00,0.00,8.00,24.00,8.00,0.00,0,3.00,0.00,0.00,1.00,6.00,0.00,99.00,67.00,0.5,0.115,0.00,48.00,31.60,36.40,3.00,2.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,0.667,0.667,3.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,27.00,3.00,2.00,11.00,0.00,0.00,0.00,0.00,0.00,20.00,0.148,0.115,0.263,0.15,0.89,0.15,0.111,0.00,1.00,True,0.000,2.03,0.00
1414301,1,10000614,1,2016,Chris Hatcher,LAD,RP,P,0,,,3/29/2017 11:06:27 AM,18,20.66,2.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.5,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.5,0.5,1.0,1.00,2.00,3.00,0.00,19.6666666667,59.00,19.00,2.00,4.119,16.00,9.00,9.00,10.00,19.00,3.00,364.00,228.00,1.322,0.211,0.00,101.00,56.05,62.70,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.5,0.5,8.00,5.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,87.00,30.00,10.00,17.00,5.00,1.00,2.00,2.00,0.00,54.00,0.310,0.395,0.705,0.12,0.22,0.241,0.322,0.00,2.00,True,0.0,4.94,0.00
