StatID,TeamID,PlayerID,SeasonType,Season,Name,Team,Position,PositionCategory,Started,BattingOrder,AverageDraftPosition,Updated,Games,FantasyPoints,AtBats,Runs,Hits,Singles,Doubles,Triples,HomeRuns,RunsBattedIn,BattingAverage,Outs,Strikeouts,Walks,HitByPitch,Sacrifices,SacrificeFlies,GroundIntoDoublePlay,StolenBases,CaughtStealing,PitchesSeen,OnBasePercentage,SluggingPercentage,OnBasePlusSlugging,Errors,Wins,Losses,Saves,InningsPitchedDecimal,TotalOutsPitched,InningsPitchedFull,InningsPitchedOuts,EarnedRunAverage,PitchingHits,PitchingRuns,PitchingEarnedRuns,PitchingWalks,PitchingStrikeouts,PitchingHomeRuns,PitchesThrown,PitchesThrownStrikes,WalksHitsPerInningsPitched,PitchingBattingAverageAgainst,GrandSlams,FantasyPointsFanDuel,FantasyPointsDraftKings,FantasyPointsYahoo,PlateAppearances,TotalBases,FlyOuts,GroundOuts,LineOuts,PopOuts,IntentionalWalks,ReachedOnError,BallsInPlay,BattingAverageOnBallsInPlay,WeightedOnBasePercentage,PitchingSingles,PitchingDoubles,PitchingTriples,PitchingGrandSlams,PitchingHitByPitch,PitchingSacrifices,PitchingSacrificeFlies,PitchingGroundIntoDoublePlay,PitchingCompleteGames,PitchingShutOuts,PitchingNoHitters,PitchingPerfectGames,PitchingPlateAppearances,PitchingTotalBases,PitchingFlyOuts,PitchingGroundOuts,PitchingLineOuts,PitchingPopOuts,PitchingIntentionalWalks,PitchingReachedOnError,PitchingCatchersInterference,PitchingBallsInPlay,PitchingOnBasePercentage,PitchingSluggingPercentage,PitchingOnBasePlusSlugging,PitchingStrikeoutsPerNineInnings,PitchingWalksPerNineInnings,PitchingBattingAverageOnBallsInPlay,PitchingWeightedOnBasePercentage,DoublePlays,PitchingDoublePlays,BattingOrderConfirmed,IsolatedPower,FieldingIndependentPitching,PitchingQualityStarts
1329188,1,10000644,1,2016,Andre Ethier,LAD,RF,OF,3,,,3/29/2017 11:06:27 AM,16,14.00,24.00,2.00,5.00,3.00,1.00,0.00,1.00,2.00,0.208,19.00,6.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,100.00,0.24,0.375,0.615,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,43.40,34.00,28.20,25.00,9.00,3.00,5.00,1.00,2.00,1.00,0.00,17.00,0.235,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,1.00,0.00,,0.167,0,0.00
1329191,29,10000686,1,2016,Donovan Solano,NYY,2B,IF,6,,,3/29/2017 11:06:27 AM,9,12.00,13.00,2.00,3.00,1.00,1.00,0.00,1.00,2.00,0.231,10.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,0.286,0.538,0.824,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,37.40,28.00,24.00,14.00,7.00,2.00,4.00,0.00,0.00,0.00,0.00,9.00,0.222,0.357,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0.307,0,0.00
1329194,29,10000842,1,2016,Bryan Mitchell,NYY,SP,P,5,,,3/29/2017 11:06:27 AM,5,8.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,15.3333333333,46.00,15.00,1.00,4.109,16.00,7.00,7.00,6.00,2.00,1.00,226.00,78.00,1.435,0.281,0.00,31.00,11.30,16.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,12.00,3.00,0.00,0.00,0.00,1.00,0.00,5.00,0.00,0.00,0.00,0.00,64.00,22.00,10.00,16.00,4.00,2.00,0.00,1.00,0.00,54.00,0.344,0.386,0.730,0.85,0.28,0.278,0.344,0.00,5.00,,0,4.95,0.00
1329251,12,10003312,1,2016,Jorge Alfaro,PHI,C,IF,4,,,3/29/2017 11:06:27 AM,6,2.00,14.00,0.00,2.00,2.00,0.00,0.00,0.00,0.00,0.143,12.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57.00,0.143,0.143,0.286,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,6.00,6.00,4.20,14.00,2.00,0.00,2.00,0.00,1.00,0.00,0.00,6.00,0.333,0.143,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0.000,0,0.00
1329254,2,10005233,1,2016,Abel de los Santos,CIN,RP,P,0,,,3/29/2017 11:06:27 AM,5,2.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,3.3333333333,10.00,3.00,1.00,2.700,2.00,1.00,1.00,0.00,0.00,0.00,39.00,11.00,0.600,0.2,0.00,7.00,3.70,5.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,2.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,13.00,2.00,2.00,3.00,1.00,1.00,0.00,0.00,0.00,11.00,0.231,0.2,0.431,0,0,0.182,0.231,0.00,0.00,,0,4.15,0.00
1329257,32,10005262,1,2016,Michael Reed,MIL,RF,OF,7,,,3/29/2017 11:06:27 AM,8,4.00,16.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.188,13.00,5.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,49.00,0.235,0.188,0.423,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,12.00,11.00,8.40,17.00,3.00,0.00,5.00,0.00,0.00,0.00,0.00,11.00,0.273,0.176,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,1.00,0.00,,0.000,0,0.00
1345713,19,10000113,3,2016,Chris Tillman,BAL,SP,P,1,,,3/29/2017 11:06:27 AM,1,2.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,3.6666666667,11.00,3.00,2.00,2.455,2.00,1.00,1.00,1.00,2.00,1.00,58.00,19.00,0.818,0.154,0.00,14.00,8.45,10.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00,6.00,3.00,4.00,0.00,1.00,0.00,0.00,0.00,10.00,0.214,0.462,0.676,0.20,0.41,0.1,0.286,0.00,0.00,,0,7.15,0.00
1345716,19,10000123,3,2016,Matt Wieters,BAL,C,IF,1,,,3/29/2017 11:06:27 AM,1,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,3.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0,0,0.00
1345773,15,10001129,3,2016,Brandon Belt,SF,1B,IF,5,,,3/29/2017 11:06:27 AM,5,6.00,8.00,2.00,0.00,0.00,0.00,0.00,0.00,2.00,0,8.00,1.00,2.00,0.00,2.00,2.00,0.00,0.00,0.00,54.00,0.167,0,0.167,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,19.40,12.00,11.40,12.00,0.00,2.00,2.00,2.00,0.00,0.00,0.00,9.00,0,0.083,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0,0,0.00
1345776,15,10001130,3,2016,Brandon Crawford,SF,SS,IF,5,,,3/29/2017 11:06:27 AM,5,6.00,13.00,0.00,3.00,1.00,2.00,0.00,0.00,0.00,0.231,10.00,4.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,59.00,0.286,0.385,0.671,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0.00,18.00,15.00,12.60,14.00,5.00,1.00,4.00,0.00,0.00,0.00,0.00,9.00,0.333,0.286,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0.00,0.00,,0.154,0,0.00
