StatID	TeamID	PlayerID	SeasonType	Season	Name	Team	Position	PositionCategory	Started	BattingOrder	AverageDraftPosition	Updated	Games	FantasyPoints	AtBats	Runs	Hits	Singles	Doubles	Triples	HomeRuns	RunsBattedIn	BattingAverage	Outs	Strikeouts	Walks	HitByPitch	Sacrifices	SacrificeFlies	GroundIntoDoublePlay	StolenBases	CaughtStealing	PitchesSeen	OnBasePercentage	SluggingPercentage	OnBasePlusSlugging	Errors	Wins	Losses	Saves	InningsPitchedDecimal	TotalOutsPitched	InningsPitchedFull	InningsPitchedOuts	EarnedRunAverage	PitchingHits	PitchingRuns	PitchingEarnedRuns	PitchingWalks	PitchingStrikeouts	PitchingHomeRuns	PitchesThrown	PitchesThrownStrikes	WalksHitsPerInningsPitched	PitchingBattingAverageAgainst	GrandSlams	FantasyPointsFanDuel	FantasyPointsDraftKings	FantasyPointsYahoo	PlateAppearances	TotalBases	FlyOuts	GroundOuts	LineOuts	PopOuts	IntentionalWalks	ReachedOnError	BallsInPlay	BattingAverageOnBallsInPlay	WeightedOnBasePercentage	PitchingSingles	PitchingDoubles	PitchingTriples	PitchingGrandSlams	PitchingHitByPitch	PitchingSacrifices	PitchingSacrificeFlies	PitchingGroundIntoDoublePlay	PitchingCompleteGames	PitchingShutOuts	PitchingNoHitters	PitchingPerfectGames	PitchingPlateAppearances	PitchingTotalBases	PitchingFlyOuts	PitchingGroundOuts	PitchingLineOuts	PitchingPopOuts	PitchingIntentionalWalks	PitchingReachedOnError	PitchingCatchersInterference	PitchingBallsInPlay	PitchingOnBasePercentage	PitchingSluggingPercentage	PitchingOnBasePlusSlugging	PitchingStrikeoutsPerNineInnings	PitchingWalksPerNineInnings	PitchingBattingAverageOnBallsInPlay	PitchingWeightedOnBasePercentage	DoublePlays	PitchingDoublePlays	BattingOrderConfirmed	IsolatedPower	FieldingIndependentPitching	PitchingQualityStarts
1329231	29	10001948	1	2016	James Manuel Pazos	NYY	RP	P	0			3/29/2017 11:06:27 AM	7	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	1.00	3.00	1.00	0.00	0	0.00	0.00	0.00	0.00	1.00	0.00	6.00	4.00	0	0	0.00	6.00	4.25	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0	0	0	0.11	0	0	0	0.00	1.00		0	1.15	0.00
1329234	24	10001961	1	2016	Matt Olson	OAK	RF	OF	6			3/29/2017 11:06:27 AM	11	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	1.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	6.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	1.00	0.00		0	0	0.00
1329291	23	10005888	1	2016	Pat Valaika	COL	SS	IF	2			3/29/2017 11:06:27 AM	13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00		0	0	0.00
1329294	19	10006354	1	2016	Trey Mancini	BAL	1B	IF	4			3/29/2017 11:06:27 AM	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00		0	0	0.00
1329297	23	10006543	1	2016	Jordan Patterson	COL	RF	OF	3			3/29/2017 11:06:27 AM	10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00		0	0	0.00
1345690	18	10000021	3	2016	Addison Reed	NYM	RP	P	0			3/29/2017 11:06:27 AM	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00		0	0	0.00
1345693	19	10000042	3	2016	Nolan Reimold	BAL	LF	OF	0			3/29/2017 11:06:27 AM	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00		0	0	0.00
1345696	19	10000045	3	2016	Mark Trumbo	BAL	RF	OF	1			3/29/2017 11:06:27 AM	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00		0	0	0.00
1345753	18	10000790	3	2016	Jeurys Familia	NYM	RP	P	0			3/29/2017 11:06:27 AM	1	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.3333333333	1.00	0.00	1.00	0	0.00	0.00	0.00	0.00	1.00	0.00	6.00	3.00	0	0	0.00	4.00	2.75	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.04	0	0	0	0.00	0.00		0	0	0.00
1345756	18	10000805	3	2016	Noah Syndergaard	NYM	SP	P	1			3/29/2017 11:06:27 AM	1	0.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.6666666667	2.00	0.00	2.00	0	1.00	0.00	0.00	0.00	2.00	0.00	14.00	8.00	1.500	0.333	0.00	8.00	4.90	5.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.333	0.333	0.666	0.04	0	1	0.333	0.00	0.00		0	0	0.00
1345759	18	10000823	3	2016	Eric Campbell	NYM	1B	IF	0			3/29/2017 11:06:27 AM	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00		0	0	0.00
1345816	3	10001320	3	2016	Justin Smoak	TOR	1B	IF	0			3/29/2017 11:06:27 AM	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00		0	0	0.00
1345819	3	10001323	3	2016	Jose Bautista	TOR	RF	OF	9			3/29/2017 11:06:27 AM	9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0	0	0	0	0	0	0	0.00	0.00		0	0	0.00
