StatID	TeamID	SeasonType	Season	Name	Team	GameID	OpponentID	Opponent	Day	DateTime	HomeOrAway	IsGameOver	GlobalOpponentID	Updated	Games	FantasyPoints	AtBats	Runs	Hits	Singles	Doubles	Triples	HomeRuns	RunsBattedIn	BattingAverage	Outs	Strikeouts	Walks	HitByPitch	Sacrifices	SacrificeFlies	GroundIntoDoublePlay	StolenBases	CaughtStealing	PitchesSeen	OnBasePercentage	SluggingPercentage	OnBasePlusSlugging	Errors	Wins	Losses	Saves	InningsPitchedDecimal	TotalOutsPitched	InningsPitchedFull	InningsPitchedOuts	EarnedRunAverage	PitchingHits	PitchingRuns	PitchingEarnedRuns	PitchingWalks	PitchingStrikeouts	PitchingHomeRuns	PitchesThrown	PitchesThrownStrikes	WalksHitsPerInningsPitched	PitchingBattingAverageAgainst	GrandSlams	FantasyPointsFanDuel	FantasyPointsDraftKings	FantasyPointsYahoo	PlateAppearances	TotalBases	FlyOuts	GroundOuts	LineOuts	PopOuts	IntentionalWalks	ReachedOnError	BallsInPlay	BattingAverageOnBallsInPlay	WeightedOnBasePercentage	PitchingSingles	PitchingDoubles	PitchingTriples	PitchingGrandSlams	PitchingHitByPitch	PitchingSacrifices	PitchingSacrificeFlies	PitchingGroundIntoDoublePlay	PitchingCompleteGames	PitchingShutOuts	PitchingNoHitters	PitchingPerfectGames	PitchingPlateAppearances	PitchingTotalBases	PitchingFlyOuts	PitchingGroundOuts	PitchingLineOuts	PitchingPopOuts	PitchingIntentionalWalks	PitchingReachedOnError	PitchingCatchersInterference	PitchingBallsInPlay	PitchingOnBasePercentage	PitchingSluggingPercentage	PitchingOnBasePlusSlugging	PitchingStrikeoutsPerNineInnings	PitchingWalksPerNineInnings	PitchingBattingAverageOnBallsInPlay	PitchingWeightedOnBasePercentage	DoublePlays	PitchingDoublePlays	BattingOrderConfirmed	IsolatedPower	FieldingIndependentPitching	PitchingQualityStarts
1084831	4	1	2016	Pittsburgh Pirates	PIT	44926	31	STL	4/3/2016 12:00:00 AM	4/3/2016 1:05:00 PM	HOME	True	10000031	3/29/2017 11:06:27 AM	1	38.00	28.00	4.00	9.00	6.00	2.00	1.00	0.00	4.00	0.321	19.00	5.00	5.00	1.00	1.00	1.00	1.00	0.00	1.00	144.00	0.429	0.464	0.893	1.00	1.00	0.00	0.00	9.00	27.00	9.00	0.00	1	5.00	1.00	1.00	5.00	14.00	0.00	141.00	81.00	1.111	0.156	0.00	83.80	64.00	54.30	35.00	13.00	3.00	6.00	3.00	1.00	0.00	0.00	24.00	0.375	0.4	5.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	38.00	5.00	3.00	5.00	0.00	2.00	0.00	0.00	0.00	18.00	0.289	0.156	0.445	0.07	0.2	0.278	0.237	0.00	0.00		0.143	2.04	0.00
1084832	31	1	2016	St. Louis Cardinals	STL	44926	4	PIT	4/3/2016 12:00:00 AM	4/3/2016 1:05:00 PM	AWAY	True	10000004	3/29/2017 11:06:27 AM	1	17.00	32.00	1.00	5.00	5.00	0.00	0.00	0.00	1.00	0.156	27.00	14.00	5.00	1.00	0.00	0.00	1.00	0.00	0.00	141.00	0.289	0.156	0.445	0.00	0.00	1.00	0.00	8.00	24.00	8.00	0.00	4.5	9.00	4.00	4.00	5.00	5.00	0.00	144.00	84.00	1.75	0.321	0.00	39.70	31.00	26.70	38.00	5.00	3.00	5.00	0.00	2.00	0.00	0.00	18.00	0.278	0.237	6.00	2.00	1.00	0.00	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	36.00	13.00	3.00	6.00	3.00	1.00	0.00	0.00	0.00	24.00	0.417	0.464	0.881	0.18	0.18	0.375	0.389	0.00	0.00		0.000	4.15	0.00
1084853	3	1	2016	Toronto Blue Jays	TOR	44927	11	TB	4/3/2016 12:00:00 AM	4/3/2016 4:05:00 PM	AWAY	True	10000011	3/29/2017 11:06:27 AM	1	36.00	35.00	5.00	7.00	5.00	1.00	0.00	1.00	5.00	0.2	28.00	16.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	158.00	0.263	0.314	0.577	2.00	1.00	0.00	1.00	9.00	27.00	9.00	0.00	3	7.00	3.00	3.00	1.00	7.00	1.00	118.00	88.00	0.889	0.2	0.00	75.50	56.00	47.40	38.00	11.00	1.00	6.00	3.00	0.00	0.00	1.00	18.00	0.333	0.289	5.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	36.00	11.00	3.00	14.00	0.00	1.00	0.00	2.00	0.00	27.00	0.222	0.314	0.536	0.14	1	0.222	0.278	0.00	0.00		0.114	3.37	0.00
1084854	11	1	2016	Tampa Bay Rays	TB	44927	3	TOR	4/3/2016 12:00:00 AM	4/3/2016 4:05:00 PM	HOME	True	10000003	3/29/2017 11:06:27 AM	1	22.00	35.00	3.00	7.00	5.00	1.00	0.00	1.00	3.00	0.2	28.00	7.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	118.00	0.222	0.314	0.536	1.00	0.00	1.00	0.00	9.00	27.00	9.00	0.00	4	7.00	5.00	4.00	3.00	16.00	1.00	158.00	101.00	1.111	0.2	0.00	56.10	44.00	36.00	36.00	11.00	3.00	14.00	0.00	1.00	0.00	2.00	27.00	0.222	0.278	5.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	38.00	11.00	1.00	6.00	3.00	0.00	0.00	1.00	0.00	18.00	0.263	0.314	0.577	0.06	0.33	0.333	0.289	0.00	0.00		0.114	2.04	0.00
1084884	5	1	2016	Kansas City Royals	KC	44928	18	NYM	4/3/2016 12:00:00 AM	4/3/2016 8:37:00 PM	HOME	True	10000018	3/29/2017 11:06:27 AM	1	33.00	30.00	4.00	9.00	9.00	0.00	0.00	0.00	4.00	0.3	21.00	3.00	2.00	0.00	0.00	1.00	3.00	1.00	0.00	114.00	0.333	0.3	0.633	0.00	1.00	0.00	1.00	9.00	27.00	9.00	0.00	3	7.00	3.00	3.00	6.00	9.00	0.00	177.00	106.00	1.444	0.212	0.00	65.80	52.00	41.70	33.00	9.00	2.00	9.00	1.00	2.00	0.00	1.00	28.00	0.321	0.303	6.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	39.00	8.00	3.00	11.00	0.00	1.00	0.00	0.00	0.00	24.00	0.333	0.242	0.575	0.11	0.17	0.292	0.282	0.00	0.00		0.0	3.15	0.00
1084885	18	1	2016	New York Mets	NYM	44928	5	KC	4/3/2016 12:00:00 AM	4/3/2016 8:37:00 PM	AWAY	True	10000005	3/29/2017 11:06:27 AM	1	24.00	33.00	3.00	7.00	6.00	1.00	0.00	0.00	3.00	0.212	26.00	9.00	6.00	0.00	0.00	0.00	0.00	0.00	1.00	177.00	0.333	0.242	0.575	1.00	0.00	1.00	0.00	8.00	24.00	8.00	0.00	3.375	9.00	4.00	3.00	2.00	3.00	0.00	114.00	71.00	1.375	0.3	0.00	62.10	47.00	40.20	39.00	8.00	3.00	11.00	0.00	1.00	0.00	0.00	24.00	0.292	0.282	9.00	0.00	0.00	0.00	0.00	0.00	1.00	3.00	0.00	0.00	0.00	0.00	33.00	9.00	2.00	9.00	1.00	2.00	0.00	1.00	0.00	28.00	0.333	0.3	0.633	0.30	0.44	0.321	0.303	0.00	0.00		0.030	3.15	0.00
1085014	15	1	2016	San Francisco Giants	SF	44930	32	MIL	4/4/2016 12:00:00 AM	4/4/2016 2:10:00 PM	AWAY	True	10000032	3/29/2017 11:06:27 AM	1	71.00	40.00	12.00	15.00	8.00	3.00	0.00	4.00	12.00	0.375	25.00	3.00	5.00	0.00	0.00	1.00	1.00	1.00	0.00	187.00	0.435	0.75	1.185	0.00	1.00	0.00	0.00	9.00	27.00	9.00	0.00	3	8.00	3.00	3.00	5.00	10.00	2.00	165.00	94.00	1.444	0.25	0.00	191.40	142.00	120.90	46.00	30.00	6.00	10.00	1.00	1.00	0.00	1.00	34.00	0.324	0.5	6.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	37.00	14.00	3.00	4.00	3.00	1.00	0.00	0.00	0.00	20.00	0.351	0.438	0.789	0.1	0.2	0.3	0.351	0.00	0.00		0.375	5.49	0.00
1085015	32	1	2016	Milwaukee Brewers	MIL	44930	15	SF	4/4/2016 12:00:00 AM	4/4/2016 2:10:00 PM	HOME	True	10000015	3/29/2017 11:06:27 AM	1	23.00	32.00	3.00	8.00	6.00	0.00	0.00	2.00	3.00	0.25	24.00	10.00	5.00	0.00	0.00	0.00	1.00	0.00	0.00	165.00	0.351	0.438	0.789	1.00	0.00	1.00	0.00	9.00	27.00	9.00	0.00	11	15.00	12.00	11.00	5.00	3.00	4.00	187.00	115.00	2.222	0.375	0.00	77.10	60.00	50.70	37.00	14.00	3.00	4.00	3.00	1.00	0.00	0.00	20.00	0.3	0.351	8.00	3.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	46.00	30.00	6.00	10.00	1.00	1.00	0.00	1.00	0.00	34.00	0.435	0.75	1.185	0.33	0.2	0.324	0.5	0.00	0.00		0.188	9.93	0.00
1085098	13	1	2016	Seattle Mariners	SEA	44932	28	TEX	4/4/2016 12:00:00 AM	4/4/2016 4:05:00 PM	AWAY	True	10000028	3/29/2017 11:06:27 AM	1	25.00	30.00	2.00	4.00	2.00	0.00	0.00	2.00	2.00	0.133	26.00	11.00	3.00	1.00	0.00	0.00	1.00	0.00	0.00	133.00	0.235	0.333	0.568	2.00	0.00	1.00	0.00	8.00	24.00	8.00	0.00	1.125	1.00	3.00	1.00	6.00	10.00	0.00	120.00	70.00	0.875	0.038	0.00	55.40	42.00	36.60	34.00	10.00	1.00	10.00	2.00	0.00	0.00	1.00	17.00	0.118	0.294	1.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	33.00	1.00	3.00	8.00	1.00	0.00	0.00	1.00	0.00	16.00	0.242	0.038	0.280	0.09	0.15	0.062	0.212	0.00	0.00		0.200	3.28	0.00
1085099	28	1	2016	Texas Rangers	TEX	44932	13	SEA	4/4/2016 12:00:00 AM	4/4/2016 4:05:00 PM	HOME	True	10000013	3/29/2017 11:06:27 AM	1	29.00	27.00	3.00	1.00	1.00	0.00	0.00	0.00	3.00	0.037	26.00	10.00	6.00	1.00	1.00	0.00	0.00	1.00	0.00	120.00	0.235	0.037	0.272	1.00	1.00	0.00	1.00	9.00	27.00	9.00	0.00	2	4.00	2.00	2.00	3.00	11.00	2.00	133.00	88.00	0.778	0.129	0.00	50.10	34.00	31.80	34.00	1.00	3.00	8.00	1.00	0.00	0.00	1.00	17.00	0.059	0.206	2.00	0.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	35.00	10.00	1.00	10.00	2.00	0.00	0.00	1.00	0.00	18.00	0.229	0.323	0.552	0.09	0.33	0.111	0.286	0.00	0.00		0.000	4.93	0.00
