StatID	TeamID	SeasonType	Season	Name	Team	Updated	Games	FantasyPoints	AtBats	Runs	Hits	Singles	Doubles	Triples	HomeRuns	RunsBattedIn	BattingAverage	Outs	Strikeouts	Walks	HitByPitch	Sacrifices	SacrificeFlies	GroundIntoDoublePlay	StolenBases	CaughtStealing	PitchesSeen	OnBasePercentage	SluggingPercentage	OnBasePlusSlugging	Errors	Wins	Losses	Saves	InningsPitchedDecimal	TotalOutsPitched	InningsPitchedFull	InningsPitchedOuts	EarnedRunAverage	PitchingHits	PitchingRuns	PitchingEarnedRuns	PitchingWalks	PitchingStrikeouts	PitchingHomeRuns	PitchesThrown	PitchesThrownStrikes	WalksHitsPerInningsPitched	PitchingBattingAverageAgainst	GrandSlams	FantasyPointsFanDuel	FantasyPointsDraftKings	FantasyPointsYahoo	PlateAppearances	TotalBases	FlyOuts	GroundOuts	LineOuts	PopOuts	IntentionalWalks	ReachedOnError	BallsInPlay	BattingAverageOnBallsInPlay	WeightedOnBasePercentage	PitchingSingles	PitchingDoubles	PitchingTriples	PitchingGrandSlams	PitchingHitByPitch	PitchingSacrifices	PitchingSacrificeFlies	PitchingGroundIntoDoublePlay	PitchingCompleteGames	PitchingShutOuts	PitchingNoHitters	PitchingPerfectGames	PitchingPlateAppearances	PitchingTotalBases	PitchingFlyOuts	PitchingGroundOuts	PitchingLineOuts	PitchingPopOuts	PitchingIntentionalWalks	PitchingReachedOnError	PitchingCatchersInterference	PitchingBallsInPlay	PitchingOnBasePercentage	PitchingSluggingPercentage	PitchingOnBasePlusSlugging	PitchingStrikeoutsPerNineInnings	PitchingWalksPerNineInnings	PitchingBattingAverageOnBallsInPlay	PitchingWeightedOnBasePercentage	DoublePlays	PitchingDoublePlays	BattingOrderConfirmed	IsolatedPower	FieldingIndependentPitching	PitchingQualityStarts
1225697	27	1	2016	American League All Stars	AL	3/29/2017 11:06:27 AM	1	39.00	32.00	4.00	8.00	5.00	1.00	0.00	2.00	4.00	0.25	24.00	5.00	3.00	0.00	0.00	0.00	1.00	0.00	0.00	131.00	0.314	0.469	0.783	1.00	1.00	0.00	1.00	9.00	27.00	9.00	0.00	2	10.00	2.00	2.00	2.00	9.00	1.00	148.00	97.00	1.333	0.270	0.00	80.80	62.00	52.20	35.00	15.00	5.00	6.00	0.00	3.00	0.00	1.00	25.00	0.24	0.371	7.00	2.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	39.00	15.00	6.00	5.00	1.00	0.00	0.00	1.00	0.00	27.00	0.308	0.405	0.713	0.11	0.5	0.333	0.333	1.00	1.00	True	0.219	3.26	0.00
1085832	14	1	2016	Arizona Diamondbacks	ARI	3/29/2017 11:06:27 AM	162	5637.10	5664.00	752.00	1479.00	944.00	288.00	55.00	192.00	708.00	0.261	4185.00	1427.00	463.00	50.00	43.00	39.00	117.00	139.00	33.00	24095.00	0.320	0.433	0.753	105.00	69.00	93.00	31.00	1451.10	4353.30	1451.00	0.30	5.104	1564.00	890.00	823.00	603.00	1318.00	202.00	24787.00	15429.00	1.493	0.274	1.00	14616.40	11273.00	9440.40	6216.00	2453.00	572.00	1250.00	357.00	132.00	43.00	54.00	4084.00	0.315	0.331	986.00	338.00	38.00	4.00	57.00	42.00	42.00	125.00	1.00	1.00	0.00	0.00	6455.00	2584.00	594.00	1239.00	373.00	191.00	57.00	48.00	0.00	4233.00	0.345	0.452	0.797	0.12	0.27	0.322	0.347	126.00	135.00		0.172	4.51	0.00
1085840	26	1	2016	Atlanta Braves	ATL	3/29/2017 11:06:27 AM	161	5140.96	5514.00	649.00	1405.00	960.00	296.00	27.00	122.00	615.00	0.255	4109.00	1240.00	502.00	59.00	64.00	52.00	144.00	78.00	34.00	23249.00	0.321	0.385	0.706	104.00	68.00	93.00	39.00	1446.9666666667	4340.90	1446.00	2.90	4.503	1413.00	779.00	724.00	547.00	1227.00	177.00	24341.00	15342.00	1.355	0.255	0.00	12743.30	9836.00	8235.00	6127.00	2121.00	601.00	1243.00	381.00	172.00	60.00	49.00	4204.00	0.305	0.313	926.00	263.00	47.00	8.00	70.00	52.00	50.00	105.00	1.00	1.00	0.00	0.00	6256.00	2301.00	705.00	1171.00	401.00	183.00	54.00	54.00	0.00	4183.00	0.324	0.416	0.740	0.13	0.29	0.295	0.325	156.00	123.00		0.130	4.33	0.00
1345156	19	3	2016	Baltimore Orioles	BAL	3/29/2017 11:06:27 AM	1	19.33	37.00	2.00	4.00	3.00	0.00	0.00	1.00	2.00	0.108	33.00	12.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	146.00	0.132	0.189	0.321	0.00	0.00	1.00	0.00	10.3333333333	31.00	10.00	1.00	4.355	9.00	5.00	5.00	2.00	11.00	2.00	151.00	95.00	1.065	0.243	0.00	43.40	34.00	28.20	38.00	7.00	2.00	15.00	2.00	1.00	0.00	0.00	24.00	0.125	0.132	4.00	3.00	0.00	0.00	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00	39.00	18.00	5.00	5.00	1.00	1.00	1.00	0.00	0.00	24.00	0.282	0.486	0.768	0.10	0.57	0.292	0.308	0.00	3.00	True	0.081	4.15	0.00
1085835	19	1	2016	Baltimore Orioles	BAL	3/29/2017 11:06:27 AM	162	5665.89	5524.00	744.00	1415.00	891.00	265.00	6.00	253.00	710.00	0.256	4109.00	1324.00	468.00	44.00	17.00	36.00	119.00	21.00	14.00	23524.00	0.317	0.444	0.761	81.00	89.00	73.00	54.00	1429.90	4289.70	1429.00	2.70	4.236	1407.00	715.00	673.00	545.00	1248.00	183.00	24317.00	15306.00	1.365	0.257	6.00	13880.80	10613.00	8927.70	6072.00	2451.00	727.00	1076.00	306.00	238.00	19.00	39.00	3983.00	0.292	0.333	897.00	310.00	17.00	2.00	49.00	17.00	37.00	146.00	1.00	0.00	0.00	0.00	6134.00	2300.00	656.00	1177.00	319.00	209.00	23.00	49.00	4.00	4088.00	0.326	0.420	0.746	0.13	0.29	0.299	0.331	127.00	156.00		0.188	4.32	0.00
1088235	25	1	2016	Boston Red Sox	BOS	3/29/2017 11:06:27 AM	162	6334.66	5670.00	878.00	1598.00	1020.00	343.00	26.00	209.00	836.00	0.282	4072.00	1160.00	558.00	43.00	8.00	40.00	137.00	84.00	25.00	24600.00	0.348	0.462	0.810	76.00	93.00	69.00	43.00	1439.6666666667	4319.00	1439.00	2.00	4.007	1342.00	694.00	641.00	490.00	1362.00	176.00	23588.00	14859.00	1.273	0.245	7.00	15902.60	12123.00	10202.10	6311.00	2620.00	718.00	1152.00	319.00	257.00	34.00	55.00	4341.00	0.320	0.357	893.00	250.00	23.00	6.00	66.00	24.00	35.00	118.00	8.00	1.00	0.00	0.00	6087.00	2166.00	778.00	1025.00	292.00	227.00	16.00	49.00	0.00	3969.00	0.312	0.396	0.708	0.12	0.33	0.294	0.317	146.00	130.00		0.180	4.01	0.00
1345966	25	3	2016	Boston Red Sox	BOS	3/29/2017 11:06:27 AM	3	71.00	98.00	7.00	21.00	11.00	7.00	0.00	3.00	7.00	0.214	77.00	31.00	8.00	1.00	0.00	1.00	2.00	0.00	0.00	455.00	0.278	0.378	0.656	1.00	0.00	3.00	0.00	25.00	75.00	25.00	0.00	5.04	26.00	15.00	14.00	6.00	30.00	5.00	430.00	285.00	1.28	0.268	0.00	184.90	144.00	121.80	108.00	37.00	14.00	17.00	6.00	4.00	0.00	0.00	65.00	0.277	0.287	18.00	3.00	0.00	0.00	1.00	2.00	1.00	1.00	0.00	0.00	0.00	0.00	107.00	44.00	6.00	18.00	2.00	8.00	1.00	0.00	0.00	63.00	0.308	0.454	0.762	0.09	0.46	0.333	0.318	2.00	1.00	True	0.164	4.19	0.00
1346310	9	3	2016	Chicago Cubs	CHC	3/29/2017 11:06:27 AM	17	610.00	587.00	75.00	137.00	83.00	31.00	3.00	20.00	73.00	0.233	450.00	152.00	46.00	6.00	1.00	5.00	8.00	11.00	1.00	2543.00	0.293	0.399	0.692	13.00	11.00	6.00	5.00	155.00	465.00	155.00	0.00	3.135	130.00	57.00	54.00	49.00	140.00	11.00	2468.00	1520.00	1.155	0.230	2.00	1419.50	1083.00	913.20	644.00	234.00	76.00	93.00	54.00	28.00	5.00	8.00	420.00	0.279	0.307	93.00	24.00	2.00	0.00	8.00	5.00	6.00	13.00	0.00	0.00	0.00	0.00	634.00	191.00	61.00	132.00	34.00	15.00	1.00	6.00	2.00	419.00	0.295	0.339	0.634	0.12	0.35	0.284	0.290	8.00	15.00	True	0.166	3.37	0.00
1085829	9	1	2016	Chicago Cubs	CHC	3/29/2017 11:06:27 AM	162	6225.96	5503.00	808.00	1408.00	885.00	293.00	31.00	199.00	767.00	0.256	4095.00	1339.00	656.00	96.00	43.00	37.00	107.00	68.00	36.00	25162.00	0.343	0.429	0.772	102.00	103.00	58.00	38.00	1458.9666666667	4376.90	1458.00	2.90	3.134	1123.00	556.00	508.00	495.00	1441.00	163.00	23340.00	14904.00	1.109	0.211	5.00	15014.10	11352.00	9655.80	6292.00	2360.00	693.00	1073.00	352.00	218.00	45.00	49.00	4002.00	0.302	0.342	740.00	205.00	15.00	5.00	63.00	30.00	35.00	96.00	5.00	2.00	1.00	0.00	5953.00	1847.00	584.00	1220.00	393.00	174.00	24.00	54.00	0.00	3761.00	0.282	0.347	0.629	0.11	0.33	0.255	0.285	122.00	107.00		0.173	3.78	0.00
1085834	16	1	2016	Chicago White Sox	CHW	3/29/2017 11:06:27 AM	162	5428.26	5549.00	686.00	1428.00	950.00	277.00	33.00	168.00	656.00	0.257	4121.00	1285.00	455.00	53.00	30.00	44.00	122.00	79.00	37.00	23739.00	0.317	0.410	0.727	96.00	78.00	84.00	43.00	1445.2666666667	4335.80	1445.00	0.80	4.116	1422.00	715.00	661.00	521.00	1270.00	185.00	23882.00	14951.00	1.344	0.257	3.00	13314.20	10274.00	8591.70	6101.00	2275.00	669.00	1180.00	314.00	201.00	16.00	50.00	4140.00	0.304	0.324	923.00	289.00	25.00	3.00	67.00	29.00	49.00	123.00	7.00	1.00	0.00	0.00	6208.00	2316.00	730.00	1106.00	347.00	213.00	30.00	44.00	4.00	4132.00	0.324	0.418	0.742	0.13	0.31	0.299	0.327	135.00	141.00		0.153	4.28	0.00
